model,trait,best_alpha,best_l1_ratio,cv_r2,train_r2,train_mse,test_r2,test_mse,num_selected
unigram,feminine,0.1,0.1,0.3423238608787059,0.5475746743377544,0.1395893799448228,0.2922046558120426,0.1631318494872907,23
unigram,evil,0.1,0.1,0.2658851237030757,0.4317485778706678,0.0504949155257563,0.1277166766831918,0.1136915168773445,22
unigram,trustworthy,0.1,0.1,0.3167451422831027,0.4829770235276075,0.0723028024590637,0.1284397902888112,0.099018631990977,20
unigram,smart,0.1,0.1,-0.0170645855263103,0.3132202361988609,0.0789803353393778,0.2757256410081294,0.0735456441090179,22
bigram,feminine,0.1,0.7,0.1922508370725176,0.4277340418642669,0.176564497451083,0.1866723305007224,0.1874548173481225,25
bigram,evil,0.1,0.9,-0.0225321263023032,0.0,0.0888601656931073,-0.0167845712668026,0.1325254961945639,0
bigram,trustworthy,1.0,0.5,-0.040058308029844,0.0,0.1398444667824631,-0.0591558703457493,0.1203315206204765,0
bigram,smart,1.0,0.5,-0.0444717933918117,0.0,0.1150009646502151,-0.0026849837257443,0.1018165451407037,0
robbert,feminine,1.0,0.1,0.0993099786984184,0.2528333470250472,0.2305276117148314,-0.0666408806770693,0.2458381522744177,31
robbert,evil,0.1,0.5,0.1210744272134541,0.3536797171685363,0.0574321274232198,0.0683715351151154,0.1214264339436483,22
robbert,trustworthy,0.1,0.5,0.2049229946386714,0.479391017347139,0.0728042855812499,0.1127750339526951,0.1007983171183972,28
robbert,smart,0.1,0.7,-0.0224734489775365,0.1036358176781044,0.1030827456449193,0.0466285119087145,0.0968090604014239,8
combined,feminine,0.1,0.5,0.2507017014190205,0.7029979436100897,0.0916357474752756,0.3772159146006817,0.1435385532226141,57
combined,evil,0.1,0.5,0.1323121265836719,0.3913375803216025,0.05408584346379,0.0826635879175088,0.1195636387726749,27
combined,trustworthy,0.1,0.5,0.2271452475891155,0.5391436473234836,0.0644482109033582,0.171152423892409,0.0941660165307536,37
combined,smart,0.1,0.9,-0.0379445159500658,0.0246084226977552,0.112170972301453,-0.0011826725475148,0.1016639946025225,3
