bigram,coefficient,abs_imp
a>,0.16663594185189937,0.16663594185189937
e>,0.09798668572918076,0.09798668572918076
<h,-0.03202121199571493,0.03202121199571493
n>,-0.03187774275026524,0.03187774275026524
tr,0.02461126553900719,0.02461126553900719
<m,0.023825474123001095,0.023825474123001095
th,-0.02231398586968145,0.02231398586968145
aa,0.022092395611784874,0.022092395611784874
rt,-0.0210049200861013,0.0210049200861013
oe,-0.019378020257819144,0.019378020257819144
or,-0.016415224890290743,0.016415224890290743
am,0.013265404972293796,0.013265404972293796
me,0.012685597975376084,0.012685597975376084
wo,-0.010350729306180658,0.010350729306180658
dy,0.008856382014801514,0.008856382014801514
br,-0.007945708891902348,0.007945708891902348
vr,0.007082357982017476,0.007082357982017476
nb,-0.005234238949476573,0.005234238949476573
r>,-0.004790969044580217,0.004790969044580217
hu,-0.004787729355757471,0.004787729355757471
we,-0.0026657688081713742,0.0026657688081713742
ht,0.0024835815001798584,0.0024835815001798584
gh,0.0022657588730040806,0.0022657588730040806
ek,-0.0021532237584230176,0.0021532237584230176
ig,0.0019392491468252229,0.0019392491468252229
