feature,coefficient,abs_imp
p,-0.10432653796305741,0.10432653796305741
k,-0.0992763329714326,0.0992763329714326
u,-0.0835147829546541,0.0835147829546541
j,-0.07673701361184047,0.07673701361184047
c,-0.05169637858005094,0.05169637858005094
t,-0.050053608114264694,0.050053608114264694
f,-0.04882609983602592,0.04882609983602592
y,-0.04687184026250721,0.04687184026250721
m,-0.03220428181795901,0.03220428181795901
z,-0.025942928036438974,0.025942928036438974
r,-0.019965451090256832,0.019965451090256832
n,-0.018310113345551233,0.018310113345551233
s,-0.017383141215129787,0.017383141215129787
g,-0.013281090707094632,0.013281090707094632
q,-0.012827636572056936,0.012827636572056936
w,-0.011459364925256557,0.011459364925256557
x,-0.010164467907710228,0.010164467907710228
i,0.009540928518467079,0.009540928518467079
b,0.004159882104263461,0.004159882104263461
